tconst,Title,Genres,runtime_minutes,vote_average,vote_count,budget_est,worldwide_gross,release_day,release_month,release_year
tt0892769,How to Train Your Dragon,"['Fantasy', 'Adventure', 'Animation', 'Family']",98,8.095081667902711,618909,165000000.0,494874875.5,26,3,2010
tt1228705,Iron Man 2,"['Adventure', 'Action', 'Science Fiction']",124,6.99630837927463,670058,185000000.0,622544860.0,7,5,2010
tt1375666,Inception,"['Action', 'Science Fiction', 'Adventure']",148,8.79404643064921,1863252,160000000.0,830528703.0,16,7,2010
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,"['Adventure', 'Fantasy', 'Family']",118,5.904994773735215,169337,95000000.0,224774041.5,11,2,2010
tt0435761,Toy Story 3,"['Animation', 'Family', 'Comedy']",103,8.292753686149462,690558,200000000.0,1067924612.5,17,6,2010
tt1323594,Despicable Me,"['Animation', 'Family', 'Comedy']",95,7.689404047470542,474568,69000000.0,538572024.0,9,7,2010
tt1001526,Megamind,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",95,7.291391274280869,211123,130000000.0,321886486.5,4,11,2010
tt1014759,Alice in Wonderland,"['Family', 'Fantasy', 'Adventure']",108,6.502370716629572,367526,200000000.0,1025479110.0,5,3,2010
tt1320253,The Expendables,"['Thriller', 'Adventure', 'Action']",103,6.494052677383024,312544,81000000.0,271369284.0,3,8,2010
tt0398286,Tangled,"['Animation', 'Family']",100,7.794843778921757,372773,260000000.0,589469486.0,24,11,2010
tt1477076,Saw: The Final Chapter,"['Horror', 'Crime']",90,5.607000705716302,85020,18500000.0,134942859.0,28,10,2010
tt1325004,The Twilight Saga: Eclipse,"['Adventure', 'Fantasy', 'Drama', 'Romance']",124,5.022659502774162,216642,68000000.0,702297087.5,23,6,2010
tt1037705,The Book of Eli,"['Action', 'Thriller', 'Science Fiction']",118,6.897456350390463,274802,80000000.0,157929286.0,11,1,2010
tt1130884,Shutter Island,"['Drama', 'Thriller', 'Mystery']",138,8.1,1018585,80000000.0,297130891.0,18,2,2010
tt1013743,Knight and Day,"['Action', 'Comedy']",109,6.295658430721738,172334,117000000.0,260340900.5,23,6,2010
tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,"['Adventure', 'Family', 'Fantasy']",113,6.300000000000001,132859,155000000.0,416936583.5,10,12,2010
tt1193631,Step Up 3D,"['Drama', 'Romance']",107,6.210693018196568,54241,30000000.0,162590463.0,6,8,2010
tt0429493,The A-Team,"['Thriller', 'Action', 'Adventure', 'Comedy', 'Crime']",117,6.794320450161583,237959,110000000.0,177239983.5,11,6,2010
